student_id,student_name,email,program,year_of_study,enrollment_date,attendance_rate,vle_logins_last_week,vle_time_hours_last_week,assignments_submitted_on_time,assignments_submitted_late,last_assessment_grade,previous_semester_gpa,is_commuter,works_part_time,has_declared_disability,is_international,financial_support,engagement_trend,accessed_upcoming_assessment_brief,days_to_nearest_assessment,last_alert_date,alert_response_status,risk_score_pre_intervention,prior_intervention_count,prior_interventions_improved,risk_score,risk_level,intervention_history_stress
STU0024,Marian Young,marian.young@student.chester.ac.uk,Data Science,2,2024-10-18,88.34,9,6.25,4,0,70,2.33,False,False,False,False,Partial,Improving,True,12,,,6,0,0,5,Low,0.0
STU0025,Linda Mellor,linda.mellor@student.chester.ac.uk,Data Science,3,2024-09-15,86.86,11,7.2,5,1,74,2.76,False,True,True,False,Partial,Improving,False,10,,,8,1,0,17,Low,49.0
STU0026,Geraldine Rees,geraldine.rees@student.chester.ac.uk,Business Analytics,2,2024-10-23,90.05,8,2.81,7,0,79,3.44,False,False,False,False,Full,Improving,True,13,,,13,0,0,10,Low,0.0
STU0027,Irene Wilson,irene.wilson@student.chester.ac.uk,Business Analytics,3,2024-09-10,62.56,0,0.0,2,0,54,2.71,True,False,False,False,Full,Improving,False,21,,,61,1,0,58,Medium,49.0
STU0028,Gregory Robinson,gregory.robinson@student.chester.ac.uk,Data Science,1,2024-09-27,84.73,11,7.78,7,0,79,3.84,True,False,False,False,Full,Improving,True,7,,,10,0,0,8,Low,0.0
STU0029,Donald Taylor,donald.taylor@student.chester.ac.uk,Psychology,2,2024-09-09,83.04,11,8.05,6,0,76,2.47,True,False,False,True,Partial,Improving,True,13,,,4,0,0,3,Low,0.0
STU0030,Jessica White,jessica.white@student.chester.ac.uk,Computer Science,1,2024-10-31,79.16,12,8.71,5,0,74,3.16,True,False,False,False,None,Improving,True,6,,,5,1,1,6,Low,11.0
STU0031,Heather Lee,heather.lee@student.chester.ac.uk,Engineering,3,2024-10-24,87.84,12,3.63,4,0,86,2.81,False,True,False,True,Full,Improving,False,18,,,16,1,0,23,Low,49.0
STU0032,Ben Middleton,ben.middleton@student.chester.ac.uk,Data Science,3,2024-09-13,78.61,5,3.99,3,0,76,2.63,False,False,False,False,None,Declining,False,5,,,31,0,0,24,Low,0.0
STU0033,Rhys Davies,rhys.davies@student.chester.ac.uk,Psychology,1,2024-09-21,96.44,8,2.16,5,0,81,3.06,True,True,False,True,None,Declining,False,3,,,32,0,0,25,Low,0.0
STU0034,Rita Cross,rita.cross@student.chester.ac.uk,Business Analytics,1,2024-09-21,80.29,8,3.61,6,0,69,2.35,False,True,False,False,None,Stable,False,19,,,19,0,0,15,Low,0.0
STU0035,Eileen Hammond,eileen.hammond@student.chester.ac.uk,Engineering,1,2024-09-11,69.63,1,0.41,3,1,53,2.91,False,True,True,False,Partial,Declining,False,15,2025-03-13,Responded,61,0,0,48,Medium,0.0
STU0036,Heather Thompson,heather.thompson@student.chester.ac.uk,Engineering,3,2024-09-23,81.11,14,5.75,6,0,82,2.53,True,True,False,False,Full,Stable,True,5,,,10,0,0,8,Low,0.0
STU0037,Duncan Humphries,duncan.humphries@student.chester.ac.uk,Business Analytics,1,2024-09-14,79.37,5,4.8,6,0,53,1.9,False,True,True,True,Partial,Declining,True,15,,,14,0,0,11,Low,0.0
STU0038,Jessica Dixon,jessica.dixon@student.chester.ac.uk,Psychology,1,2024-09-11,67.28,1,0.3,3,1,69,2.82,True,True,False,False,Partial,Stable,False,4,,,53,1,1,44,Medium,11.0
STU0039,Ruth Holmes,ruth.holmes@student.chester.ac.uk,Data Science,2,2024-10-03,82.82,4,2.86,5,0,68,2.57,False,True,False,False,Partial,Declining,False,17,2025-02-19,Responded,32,0,0,25,Low,0.0
STU0040,Gerald Richardson,gerald.richardson@student.chester.ac.uk,Data Science,1,2024-09-30,86.62,10,7.39,5,1,83,2.88,False,False,False,False,Partial,Improving,False,20,,,13,0,0,10,Low,0.0
STU0041,William Wilson,william.wilson@student.chester.ac.uk,Business Analytics,1,2024-09-11,68.79,10,4.27,7,0,100,3.36,False,False,False,True,None,Declining,True,20,,,19,0,0,15,Low,0.0
STU0042,Ryan Nelson,ryan.nelson@student.chester.ac.uk,Data Science,1,2024-09-04,95.28,15,11.68,7,0,79,3.2,False,False,False,False,Full,Improving,True,11,2025-03-07,Responded,3,0,0,2,Low,0.0
STU0043,Joanne Phillips,joanne.phillips@student.chester.ac.uk,Computer Science,2,2024-09-15,97.66,21,11.42,7,0,90,4.0,True,False,False,False,Partial,Improving,True,12,,,7,0,0,5,Low,0.0
STU0044,Phillip Johnston,phillip.johnston@student.chester.ac.uk,Psychology,2,2024-09-10,81.4,7,2.17,4,1,58,2.83,False,True,True,False,None,Improving,True,20,2025-03-08,No Response,18,0,0,14,Low,0.0
STU0045,Kirsty Hawkins,kirsty.hawkins@student.chester.ac.uk,Engineering,1,2024-10-13,67.03,0,0.19,1,0,52,1.93,False,False,False,False,Partial,Declining,True,8,,,62,4,2,62,Medium,63.0
STU0046,Guy Kelly,guy.kelly@student.chester.ac.uk,Computer Science,3,2024-09-09,60.63,7,4.85,7,0,100,2.99,True,False,False,False,None,Improving,True,11,,,9,0,0,7,Low,0.0
STU0047,Dawn Byrne,dawn.byrne@student.chester.ac.uk,Data Science,2,2024-09-19,66.73,11,8.13,7,1,86,3.35,False,False,False,True,None,Improving,False,4,2025-02-28,Responded,15,0,0,12,Low,0.0
STU0048,Carly Hale,carly.hale@student.chester.ac.uk,Business Analytics,2,2024-09-28,86.57,11,8.75,6,0,85,3.11,True,False,False,False,Partial,Declining,False,13,,,21,0,0,16,Low,0.0
STU0049,Arthur Davidson,arthur.davidson@student.chester.ac.uk,Data Science,2,2024-10-11,61.89,1,1.52,3,1,67,2.39,True,False,False,False,Full,Declining,False,10,2025-02-16,No Response,59,2,0,59,Medium,60.0
STU0050,Chelsea Powell,chelsea.powell@student.chester.ac.uk,Data Science,1,2024-09-12,74.66,7,3.21,6,0,71,2.99,False,False,True,False,Full,Improving,True,20,2025-02-09,Responded,6,0,0,5,Low,0.0
STU0051,Fiona Rowe,fiona.rowe@student.chester.ac.uk,Data Science,2,2024-10-02,44.07,2,3.64,0,1,29,1.64,False,False,False,False,None,Declining,False,16,,,77,3,1,73,High,58.33
STU0052,Carole Matthews,carole.matthews@student.chester.ac.uk,Data Science,1,2024-10-03,66.06,6,2.56,4,1,96,3.65,False,False,False,False,None,Improving,True,8,,,21,0,0,16,Low,0.0
STU0053,Gerald Turner,gerald.turner@student.chester.ac.uk,Engineering,3,2024-10-14,60.29,1,0.37,3,0,23,1.73,True,False,False,False,Full,Stable,False,17,,,78,1,1,63,Medium,11.0
STU0054,Ashley Bond,ashley.bond@student.chester.ac.uk,Computer Science,1,2024-09-11,66.42,2,0.79,4,1,81,2.4,False,True,False,False,None,Declining,False,6,,,53,5,2,58,Medium,77.8
STU0055,George Davey,george.davey@student.chester.ac.uk,Engineering,1,2024-10-17,89.92,2,1.65,2,0,70,1.86,True,True,False,True,None,Improving,False,13,,,36,0,0,28,Low,0.0
STU0056,Jamie Gould,jamie.gould@student.chester.ac.uk,Data Science,1,2024-10-17,75.48,6,3.48,4,0,62,3.03,True,False,False,False,None,Improving,False,7,2025-03-15,No Response,26,0,0,20,Low,0.0
STU0057,Sam James,sam.james@student.chester.ac.uk,Business Analytics,3,2024-09-11,68.85,0,2.38,3,0,50,2.32,False,False,False,False,None,Declining,False,12,,,60,1,0,58,Medium,49.0
STU0058,Mary Anderson,mary.anderson@student.chester.ac.uk,Psychology,3,2024-09-08,66.63,3,3.14,5,0,69,2.51,False,False,False,False,None,Declining,False,16,,,39,0,0,30,Low,0.0
STU0059,Emma Palmer,emma.palmer@student.chester.ac.uk,Psychology,1,2024-09-17,57.24,1,0.56,1,1,38,1.67,False,True,False,True,Partial,Declining,False,7,,,74,0,0,58,Medium,0.0
STU0060,Jade Hill,jade.hill@student.chester.ac.uk,Psychology,1,2024-10-22,62.18,1,0.66,3,1,46,2.1,False,True,False,True,None,Declining,False,16,2025-03-05,Responded,64,3,2,60,Medium,45.67
STU0061,Andrea Taylor,andrea.taylor@student.chester.ac.uk,Data Science,1,2024-09-03,75.23,8,2.57,5,0,63,2.68,False,True,False,True,Full,Stable,False,14,2025-02-27,Responded,23,0,0,18,Low,0.0
STU0062,Mark Davies,mark.davies@student.chester.ac.uk,Computer Science,3,2024-09-02,54.58,0,0.0,3,0,34,2.37,True,True,False,False,Partial,Declining,False,12,,,85,3,2,76,High,45.67
STU0063,Geoffrey Richardson,geoffrey.richardson@student.chester.ac.uk,Psychology,2,2024-09-17,64.35,0,0.0,0,1,41,1.93,False,False,False,True,Partial,Declining,False,6,2025-02-12,No Response,80,2,0,76,High,60.0
STU0064,Paula Myers,paula.myers@student.chester.ac.uk,Data Science,2,2024-10-10,86.82,9,1.45,4,0,78,3.22,False,True,False,False,Partial,Improving,False,20,2025-03-11,No Response,21,0,0,16,Low,0.0
STU0065,Jemma Cook,jemma.cook@student.chester.ac.uk,Psychology,2,2024-10-30,79.95,6,3.23,8,0,76,2.67,False,False,False,False,Full,Stable,True,16,,,15,0,0,12,Low,0.0
STU0066,Billy Williams,billy.williams@student.chester.ac.uk,Computer Science,1,2024-09-28,93.99,15,9.77,5,0,71,2.46,True,False,False,False,Partial,Declining,True,17,,,16,0,0,12,Low,0.0
STU0067,Sandra Harper,sandra.harper@student.chester.ac.uk,Data Science,3,2024-09-23,74.75,7,3.18,6,0,59,2.35,False,False,True,False,Full,Improving,False,13,,,12,0,0,9,Low,0.0
STU0068,Marcus Page,marcus.page@student.chester.ac.uk,Computer Science,1,2024-10-17,72.47,3,3.91,2,1,66,1.92,True,False,False,False,None,Stable,False,20,,,35,0,0,27,Low,0.0
STU0069,Antony Buckley,antony.buckley@student.chester.ac.uk,Psychology,1,2024-10-01,100.0,12,3.85,6,0,66,2.66,True,True,False,False,Partial,Declining,True,8,,,20,0,0,16,Low,0.0
STU0070,Kenneth Taylor,kenneth.taylor@student.chester.ac.uk,Computer Science,2,2024-09-23,57.37,1,0.31,4,0,55,2.42,True,True,False,False,None,Declining,False,13,2025-03-04,Meeting Scheduled,58,3,1,58,Medium,58.33
STU0071,Joel Gray,joel.gray@student.chester.ac.uk,Business Analytics,1,2024-09-13,92.76,7,1.12,3,1,74,3.19,False,True,False,True,Full,Stable,True,17,,,26,0,0,20,Low,0.0
STU0072,Kathleen John,kathleen.john@student.chester.ac.uk,Engineering,2,2024-10-09,72.22,4,2.32,7,0,83,3.1,False,True,False,False,None,Stable,True,13,,,21,1,1,19,Low,11.0
STU0073,Carl Patel,carl.patel@student.chester.ac.uk,Business Analytics,1,2024-10-23,61.48,1,0.35,0,0,38,2.1,False,True,False,False,Partial,Declining,False,10,,,76,5,1,78,High,85.4
STU0074,Shaun Powell,shaun.powell@student.chester.ac.uk,Data Science,2,2024-09-13,89.32,7,5.51,5,0,65,2.2,False,False,False,False,Partial,Improving,True,18,,,7,0,0,5,Low,0.0
STU0075,Melanie Bell,melanie.bell@student.chester.ac.uk,Business Analytics,3,2024-09-14,64.47,0,0.0,3,0,47,1.37,True,False,False,True,Partial,Declining,True,7,,,64,0,0,50,Medium,0.0
STU0076,June Duncan,june.duncan@student.chester.ac.uk,Data Science,1,2024-10-19,85.42,12,6.88,4,0,69,2.85,False,False,False,False,None,Improving,True,11,,,6,0,0,5,Low,0.0
STU0077,Jack Griffiths,jack.griffiths@student.chester.ac.uk,Data Science,3,2024-09-26,85.17,8,7.07,6,1,77,3.25,False,True,False,False,Partial,Improving,True,6,,,7,1,1,8,Low,11.0
STU0078,Linda Shaw,linda.shaw@student.chester.ac.uk,Psychology,3,2024-09-11,68.64,0,0.23,5,1,54,2.4,False,True,False,False,Partial,Declining,False,11,2025-02-12,No Response,62,0,0,48,Medium,0.0
STU0079,Mohammad Smith,mohammad.smith@student.chester.ac.uk,Computer Science,3,2024-09-22,100.0,11,4.66,5,0,87,3.39,False,False,False,False,None,Improving,True,4,2025-02-15,No Response,9,0,0,7,Low,0.0
STU0080,Cameron Shaw,cameron.shaw@student.chester.ac.uk,Data Science,2,2024-10-14,80.87,0,1.45,3,0,49,2.23,False,False,False,True,Full,Declining,False,9,,,63,0,0,49,Medium,0.0
STU0081,Jason Cunningham,jason.cunningham@student.chester.ac.uk,Data Science,1,2024-09-21,65.21,1,0.99,2,0,40,2.0,False,True,False,False,Partial,Declining,False,18,,,67,1,0,63,Medium,49.0
STU0082,Danielle Sharp,danielle.sharp@student.chester.ac.uk,Psychology,2,2024-10-29,85.18,7,4.26,6,0,83,2.75,False,False,False,True,Partial,Declining,True,14,,,20,0,0,16,Low,0.0
STU0083,Stacey Miller,stacey.miller@student.chester.ac.uk,Data Science,3,2024-09-03,58.13,3,2.99,5,0,59,2.68,True,True,False,False,None,Improving,False,4,,,32,0,0,25,Low,0.0
STU0084,Scott Knowles,scott.knowles@student.chester.ac.uk,Engineering,3,2024-09-19,64.43,0,0.0,3,0,63,2.62,True,True,False,True,None,Declining,False,18,,,59,0,0,46,Medium,0.0
STU0085,Georgina O'Brien,georgina.obrien@student.chester.ac.uk,Data Science,2,2024-10-21,95.39,3,1.92,4,0,89,3.17,True,True,False,False,Full,Improving,True,13,,,24,0,0,19,Low,0.0
STU0086,Debra Carr,debra.carr@student.chester.ac.uk,Psychology,3,2024-09-09,99.11,9,7.58,7,0,76,2.74,False,False,False,False,Partial,Stable,False,8,,,15,1,1,14,Low,11.0
STU0087,Mary Arnold,mary.arnold@student.chester.ac.uk,Computer Science,2,2024-10-04,80.44,11,9.24,3,0,76,3.12,False,False,False,True,Full,Improving,True,21,2025-03-03,Meeting Scheduled,7,0,0,5,Low,0.0
STU0088,Sheila Mitchell,sheila.mitchell@student.chester.ac.uk,Business Analytics,1,2024-09-26,80.2,10,5.93,6,0,70,2.4,True,True,False,True,None,Declining,False,19,2025-03-02,Responded,20,1,0,26,Low,49.0
STU0089,Hollie Lawson,hollie.lawson@student.chester.ac.uk,Business Analytics,3,2024-10-11,78.99,7,3.45,5,0,67,2.96,False,False,False,False,Partial,Declining,False,8,,,30,0,0,23,Low,0.0
STU0090,Graeme Matthews,graeme.matthews@student.chester.ac.uk,Data Science,1,2024-09-24,100.0,20,9.31,5,0,100,3.9,True,True,False,False,Full,Improving,True,21,,,5,0,0,4,Low,0.0
STU0091,Vanessa Brooks,vanessa.brooks@student.chester.ac.uk,Business Analytics,2,2024-09-23,83.55,8,1.27,6,0,70,2.67,False,True,False,False,None,Improving,True,8,,,15,0,0,12,Low,0.0
STU0092,Jennifer Lyons,jennifer.lyons@student.chester.ac.uk,Psychology,2,2024-09-29,78.41,0,3.63,3,0,55,2.33,False,False,False,False,None,Declining,False,12,,,54,0,0,42,Medium,0.0
STU0093,Alison O'Neill,alison.oneill@student.chester.ac.uk,Data Science,3,2024-09-05,80.32,5,3.6,4,0,68,3.17,False,False,False,False,Partial,Declining,False,12,,,35,1,1,30,Low,11.0
STU0094,Eric Collins,eric.collins@student.chester.ac.uk,Computer Science,3,2024-09-14,96.89,15,11.62,6,0,100,3.76,False,True,False,False,Partial,Improving,True,6,,,4,0,0,3,Low,0.0
STU0095,Michael Fox,michael.fox@student.chester.ac.uk,Computer Science,1,2024-09-03,65.63,0,1.23,5,1,56,2.26,False,False,False,True,Partial,Declining,True,4,,,57,2,0,58,Medium,60.0
STU0096,Bernard Fox,bernard.fox@student.chester.ac.uk,Computer Science,2,2024-10-25,63.19,0,0.0,3,1,43,2.0,False,True,False,False,Full,Improving,False,20,,,60,2,2,52,Medium,22.0
STU0097,Thomas Hammond,thomas.hammond@student.chester.ac.uk,Business Analytics,1,2024-09-22,86.01,13,6.35,4,2,86,2.57,False,True,False,True,Partial,Improving,True,10,,,13,0,0,10,Low,0.0
STU0098,Julia Howard,julia.howard@student.chester.ac.uk,Business Analytics,2,2024-09-23,64.49,1,0.69,3,0,34,1.67,False,True,False,True,Full,Declining,False,16,2025-02-22,No Response,65,0,0,51,Medium,0.0
STU0099,Joseph Howe,joseph.howe@student.chester.ac.uk,Engineering,1,2024-09-20,100.0,15,6.58,3,1,100,3.39,False,True,False,False,None,Improving,True,15,,,10,0,0,8,Low,0.0
STU0100,Mohamed Bruce,mohamed.bruce@student.chester.ac.uk,Business Analytics,1,2024-09-22,77.02,3,4.43,1,0,62,2.2,False,False,False,True,None,Declining,False,15,,,38,1,0,40,Medium,49.0
STU0101,Frank White,frank.white@student.chester.ac.uk,Business Analytics,2,2024-09-08,66.35,0,1.33,2,0,55,2.89,False,True,False,False,None,Stable,False,13,,,61,0,0,48,Medium,0.0
STU0102,Danielle Stevens,danielle.stevens@student.chester.ac.uk,Computer Science,1,2024-10-27,86.52,11,3.82,4,0,74,1.81,False,True,False,False,Partial,Declining,False,5,,,29,0,0,23,Low,0.0
STU0103,Wayne Wood,wayne.wood@student.chester.ac.uk,Computer Science,1,2024-10-19,81.73,12,3.97,6,0,73,2.85,False,False,False,True,Partial,Improving,False,7,2025-03-06,No Response,17,0,0,13,Low,0.0
STU0104,Alexandra Allen,alexandra.allen@student.chester.ac.uk,Psychology,3,2024-10-03,100.0,10,3.05,8,0,93,3.41,False,True,False,False,Partial,Improving,True,12,,,9,0,0,7,Low,0.0
STU0105,Norman McKenzie,norman.mckenzie@student.chester.ac.uk,Business Analytics,2,2024-09-23,82.93,14,9.79,6,0,98,3.19,False,False,False,False,Partial,Improving,True,4,2025-03-09,No Response,4,0,0,3,Low,0.0
STU0106,Jane Bates,jane.bates@student.chester.ac.uk,Engineering,3,2024-09-19,68.86,2,2.36,2,0,52,2.63,False,False,False,False,Partial,Declining,False,7,,,59,3,1,59,Medium,58.33
STU0107,Lewis Slater,lewis.slater@student.chester.ac.uk,Computer Science,3,2024-10-28,70.01,0,0.0,5,0,66,2.09,True,True,True,True,Partial,Declining,False,16,,,49,0,0,38,Medium,0.0
STU0108,Owen Davison,owen.davison@student.chester.ac.uk,Computer Science,1,2024-09-27,66.23,10,7.31,5,2,100,3.73,False,False,False,True,None,Improving,True,19,2025-02-28,No Response,13,0,0,10,Low,0.0
STU0109,Jade Taylor,jade.taylor@student.chester.ac.uk,Computer Science,2,2024-10-05,67.62,1,0.25,5,0,47,3.27,False,True,False,False,None,Declining,False,20,,,71,1,1,58,Medium,11.0
STU0110,Alexander Davies,alexander.davies@student.chester.ac.uk,Business Analytics,3,2024-10-29,65.11,4,3.86,5,1,70,2.81,False,True,True,True,None,Declining,False,6,,,30,0,0,23,Low,0.0
STU0111,Leah Gibson,leah.gibson@student.chester.ac.uk,Data Science,3,2024-09-16,64.53,0,1.62,4,0,59,2.21,True,False,False,False,Full,Declining,False,20,,,57,1,1,47,Medium,11.0
STU0112,Sophie Briggs,sophie.briggs@student.chester.ac.uk,Business Analytics,2,2024-10-07,96.64,5,3.33,5,1,80,3.09,False,False,False,False,Partial,Declining,False,5,,,34,0,0,27,Low,0.0
STU0113,Raymond Smith,raymond.smith@student.chester.ac.uk,Data Science,3,2024-10-24,90.06,14,11.21,5,0,91,3.89,False,False,False,False,Full,Improving,False,7,2025-03-11,Responded,12,0,0,9,Low,0.0
STU0114,Karl Wilkinson,karl.wilkinson@student.chester.ac.uk,Computer Science,2,2024-09-14,85.44,7,7.16,8,0,84,3.08,False,False,False,False,Full,Improving,False,11,,,8,0,0,6,Low,0.0
STU0115,Bradley Oliver,bradley.oliver@student.chester.ac.uk,Business Analytics,2,2024-10-07,89.72,7,7.11,3,0,93,3.05,False,False,False,True,None,Declining,True,5,,,18,0,0,14,Low,0.0
STU0116,Ricky Hall,ricky.hall@student.chester.ac.uk,Engineering,1,2024-09-10,66.11,3,2.47,5,1,75,3.25,False,False,False,False,Full,Improving,False,6,2025-03-08,No Response,36,0,0,28,Low,0.0
STU0117,Keith Williams,keith.williams@student.chester.ac.uk,Psychology,1,2024-10-13,85.0,9,2.97,5,0,62,2.41,False,True,True,False,None,Stable,True,15,,,10,0,0,8,Low,0.0
STU0118,Georgina Gibson,georgina.gibson@student.chester.ac.uk,Computer Science,3,2024-09-25,75.87,4,3.5,4,0,64,2.71,False,True,False,False,Full,Improving,False,4,,,24,0,0,19,Low,0.0
STU0119,Naomi Watkins,naomi.watkins@student.chester.ac.uk,Computer Science,1,2024-10-13,67.57,2,0.51,3,0,69,2.32,False,False,False,True,Partial,Declining,True,4,,,47,0,0,37,Medium,0.0
STU0120,Stephen Morgan,stephen.morgan@student.chester.ac.uk,Engineering,1,2024-10-03,100.0,12,4.66,8,0,90,3.72,True,True,True,False,None,Improving,True,13,,,0,0,0,0,Low,0.0
STU0121,Frank Thompson,frank.thompson@student.chester.ac.uk,Data Science,1,2024-09-19,81.3,8,3.71,5,0,77,3.06,False,False,False,False,Full,Improving,False,7,2025-03-12,Meeting Scheduled,19,0,0,15,Low,0.0
STU0122,Danielle Jones,danielle.jones@student.chester.ac.uk,Data Science,2,2024-09-25,97.82,19,10.32,8,0,95,2.94,False,True,False,False,Full,Stable,True,7,,,7,0,0,5,Low,0.0
STU0123,Joanne Poole,joanne.poole@student.chester.ac.uk,Data Science,1,2024-09-22,76.2,0,1.95,3,1,33,2.16,False,False,False,False,Full,Declining,True,8,,,75,2,1,68,High,41.0
STU0124,Roger Lamb,roger.lamb@student.chester.ac.uk,Psychology,1,2024-09-25,70.55,1,0.96,6,0,42,2.02,False,True,True,False,Full,Declining,False,6,,,55,1,0,54,Medium,49.0
STU0125,Janet Pritchard,janet.pritchard@student.chester.ac.uk,Business Analytics,2,2024-10-05,78.41,6,8.19,3,1,51,1.71,True,False,True,False,Full,Stable,False,12,,,18,1,0,25,Low,49.0
STU0126,Sandra Hussain,sandra.hussain@student.chester.ac.uk,Data Science,2,2024-09-27,86.15,19,10.64,6,0,100,3.23,False,True,True,True,None,Improving,True,18,,,0,0,0,0,Low,0.0
STU0127,Bethan Andrews,bethan.andrews@student.chester.ac.uk,Engineering,1,2024-10-18,73.51,0,0.68,3,0,39,1.84,False,False,False,False,Partial,Declining,False,6,,,71,0,0,55,Medium,0.0
STU0128,Suzanne Adams,suzanne.adams@student.chester.ac.uk,Data Science,3,2024-10-12,85.74,2,0.93,7,0,71,3.48,True,False,False,False,Full,Improving,True,6,2025-03-08,No Response,37,0,0,29,Low,0.0
STU0129,Holly Nash,holly.nash@student.chester.ac.uk,Data Science,1,2024-10-27,78.83,5,2.26,5,1,100,3.59,False,True,False,False,Partial,Improving,True,13,,,17,0,0,13,Low,0.0
